날짜,평균미세먼지
2019-10-04,24.668084084084086
2019-10-05,35.66131274131274
2019-10-06,13.374541398541398
2019-10-07,12.887770055770057
2019-10-08,22.36099871299871
2019-10-09,23.874227370227374
2019-10-10,29.107456027456028
2019-10-11,33.10068468468469
2019-10-12,24.173913341913345
2019-10-13,20.487141999142
2019-10-14,32.44037065637065
2019-10-15,21.073599313599317
2019-10-16,26.546827970827973
2019-10-17,28.940056628056627
2019-10-18,19.273285285285287
2019-10-19,22.806513942513945
2019-10-20,35.5197425997426
2019-10-21,39.43297125697126
2019-10-22,36.90619991419992
2019-10-23,23.77942857142857
2019-10-24,28.029714285714284
2019-10-25,24.52
2019-10-26,23.48
2019-10-27,25.04
2019-10-28,30.92
2019-10-29,98.04
2019-10-30,25.92
2019-10-31,78.6
2019-11-01,91.56
2019-11-02,76.52
2019-11-03,55.48
2019-11-04,15.24
2019-11-05,35.36
2019-11-06,49.76
2019-11-07,51.56
2019-11-08,45.08
2019-11-09,44.6
2019-11-10,40.48
2019-11-11,26.58
2019-11-12,39.88
2019-11-13,35.32
2019-11-14,20.56
2019-11-15,23.76
2019-11-16,34.24
2019-11-17,30.88
2019-11-18,64.12
2019-11-19,30.12
2019-11-20,23.76
2019-11-21,37.24
2019-11-22,45.72
2019-11-23,36.48
2019-11-24,32.52
2019-11-25,26.22
2019-11-26,26.48
2019-11-27,40.52
2019-11-28,38.24
2019-11-29,45.16
2019-11-30,46.0
2019-12-01,39.28
2019-12-02,22.56
2019-12-03,27.72
2019-12-04,29.0
2019-12-05,22.4
2019-12-06,31.4
2019-12-07,46.52
2019-12-08,54.28
2019-12-09,62.48
2019-12-10,97.48
2019-12-11,75.2
2019-12-12,22.0
2019-12-13,27.266666666666666
2019-12-14,37.973333333333336
2019-12-15,37.24
2019-12-16,38.48
2019-12-17,27.64
2019-12-18,37.68
2019-12-19,26.28
2019-12-20,29.24
2019-12-21,33.84
2019-12-22,58.12
2019-12-23,50.4
2019-12-24,69.04
2019-12-25,51.08
2019-12-26,47.36
2019-12-27,34.2
2019-12-28,42.2
2019-12-29,44.6
2019-12-30,35.84
2019-12-31,26.0
